3, 0, 255, 0, 0
3, 10000, 0, -255, 0
3, 20000, 0, -255, 0
3, 30000, 0, -255, 0
3, 40000, 0, -255, 0
3, 50000, 0, -255, 0
3, 60000, 0, -255, 0
3, 70000, 0, -255, 0
3, 80000, 0, -255, 0
3, 90000, 0, -255, 0
3, 100000, 0, -255, 0
3, 110000, 0, -255, 0
3, 120000, 0, -255, 0
3, 130000, 0, -255, 0
3, 140000, 0, -255, 0
3, 150000, 0, -255, 0
3, 160000, 0, -255, 0
3, 170000, 0, -255, 0
3, 180000, 0, -255, 0
3, 190000, 0, -255, 0
3, 200000, 0, -255, 0
3, 210000, 0, -255, 0
3, 220000, 0, -255, 0
3, 230000, 0, -255, 0
3, 240000, 0, -255, 0
3, 250000, 0, -255, 0
3, 260000, 0, -255, 0
3, 270000, 0, -255, 0
3, 280000, 0, -255, 0
3, 290000, 0, -255, 0
3, 300000, 0, -255, 0
3, 310000, 0, -255, 0
3, 320000, 0, -255, 0
3, 330000, 0, -255, 0
3, 340000, 0, -255, 0
3, 350000, 0, -255, 0
3, 360000, 0, -255, 0
3, 370000, 0, -255, 0
3, 380000, 0, -255, 0
3, 390000, 0, -255, 0
3, 400000, 0, -255, 0
3, 410000, 0, -255, 0
3, 420000, 0, -255, 0
3, 430000, 0, -255, 0
3, 440000, 0, -255, 0
3, 450000, 0, -255, 0
3, 460000, 0, -255, 0
3, 470000, 0, -255, 0
3, 480000, 0, -255, 0
3, 490000, 0, -255, 0
3, 500000, 0, -255, 0
3, 510000, 0, -255, 0
3, 520000, 0, -255, 0
3, 530000, 0, -255, 0
3, 540000, 0, -255, 0
3, 550000, 0, -255, 0
3, 560000, 0, -255, 0
3, 570000, 0, -255, 0
3, 580000, 0, -255, 0
3, 590000, 0, -255, 0
3, 600000, 0, -255, 0
3, 610000, 0, -255, 0
3, 620000, 0, -255, 0
3, 630000, 0, -255, 0
3, 640000, 0, -255, 0
3, 650000, 0, -255, 0
3, 660000, 0, -255, 0
3, 670000, 0, -255, 0
3, 680000, 0, -255, 0
3, 690000, 0, -255, 0
3, 700000, 0, -255, 0
3, 710000, 0, -255, 0
3, 720000, 0, -255, 0
3, 730000, 0, -255, 0
3, 740000, 0, -255, 0
3, 750000, 0, -255, 0
3, 760000, 0, -255, 0
3, 770000, 0, -255, 0
3, 780000, 0, -255, 0
3, 790000, 0, -255, 0
3, 800000, 0, -255, 0
3, 810000, 0, -255, 0
3, 820000, 0, -255, 0
3, 830000, 0, -255, 0
3, 840000, 0, -255, 0
3, 850000, 0, -255, 0
3, 860000, 0, -255, 0
3, 870000, 0, -255, 0
3, 880000, 0, -255, 0
3, 890000, 0, -255, 0
3, 900000, 0, -255, 0
3, 910000, 0, -255, 0
3, 920000, 0, -255, 0
3, 930000, 0, -255, 0
3, 940000, 0, -255, 0
3, 950000, 0, -255, 0
3, 960000, 0, -255, 0
3, 970000, 0, -255, 0
3, 980000, 0, -255, 0
3, 990000, 0, -255, 0
3, 1000000, 0, -255, 0
3, 1010000, 0, -255, 0
3, 1020000, 0, -255, 0
3, 1030000, 0, -255, 0
3, 1040000, 0, -255, 0
3, 1050000, 0, -255, 0
3, 1060000, 0, -255, 0
3, 1070000, 0, -255, 0
